key;result
79f34390d66a419dbd715107cc20b70c;{"time": "2018-12-06T13:02:13.474648", "fingerprints": ["f3367151bdd8eaf853586c75b9aa16f9ec1d82b8", "f3367151bdd8eaf853586c75b9aa16f9ec1d82b8", "f3367151bdd8eaf853586c75b9aa16f9ec1d82b8", "f3367151bdd8eaf853586c75b9aa16f9ec1d82b8", "f3367151bdd8eaf853586c75b9aa16f9ec1d82b8"], "cookie_id": "13084e48e4974728aca013990fc5d025"}
9bee5471d0c64a7a8d6805b6ab65f6f3;{"time": "2018-12-06T13:04:28.293108", "fingerprints": ["1f457f33b26d364f6f1d666726e5fe2282fd4fcc", "1f457f33b26d364f6f1d666726e5fe2282fd4fcc", "1f457f33b26d364f6f1d666726e5fe2282fd4fcc", "1f457f33b26d364f6f1d666726e5fe2282fd4fcc", "1f457f33b26d364f6f1d666726e5fe2282fd4fcc"], "cookie_id": "a4ba96c325874186a615bc11aad8b2d5"}
7c936b154bb14506acb26bd77cd1df75;{"time": "2018-12-06T13:01:23.944551", "fingerprints": ["f5d1539c930065288c2dbcdaccda90eacf8c812f", "f5d1539c930065288c2dbcdaccda90eacf8c812f", "f5d1539c930065288c2dbcdaccda90eacf8c812f", "f5d1539c930065288c2dbcdaccda90eacf8c812f", "f5d1539c930065288c2dbcdaccda90eacf8c812f"], "cookie_id": "1a6526a4fbe14bc999d46685644deb2e"}
d0b1a768d5604459a332069035f818ae;{"time": "2018-12-06T13:01:16.984291", "fingerprints": ["5303bb4aa99b0563e2f904dd520dcb120c6e737d", "5303bb4aa99b0563e2f904dd520dcb120c6e737d", "5303bb4aa99b0563e2f904dd520dcb120c6e737d", "5303bb4aa99b0563e2f904dd520dcb120c6e737d", "5303bb4aa99b0563e2f904dd520dcb120c6e737d"], "cookie_id": "f1c4956254e74f94b94cf40d1b616cf2"}
a7f818e850024c388fb999ed5b59d10f;{"time": "2018-12-06T13:01:03.183183", "fingerprints": ["c7d6813c08190bca8d6287cdda6af8a978f6949e", "c7d6813c08190bca8d6287cdda6af8a978f6949e", "c7d6813c08190bca8d6287cdda6af8a978f6949e", "c7d6813c08190bca8d6287cdda6af8a978f6949e", "c7d6813c08190bca8d6287cdda6af8a978f6949e"], "cookie_id": "7e903a24f5024c7e9928fb3803739b6d"}
b8abb2509c2b4012885917fdc09c59a1;{ }
04973ec5a24a4c63b88f93c38aeb2487;{"time": "2018-12-06T13:02:09.763981", "fingerprints": ["639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9", "639f37feef2cee11fa22e69bea9677cab70001e9"], "cookie_id": "d97a84ad883c43ef8043a68d27055426"}
4dd93c6df04042fbb5c19f4206fdb6d6;{"time": "2018-12-06T13:01:36.021827", "fingerprints": ["2e94239f5c91012cf4d27df5fa081df0b0d87808", "2e94239f5c91012cf4d27df5fa081df0b0d87808", "2e94239f5c91012cf4d27df5fa081df0b0d87808", "2e94239f5c91012cf4d27df5fa081df0b0d87808", "2e94239f5c91012cf4d27df5fa081df0b0d87808"], "cookie_id": "f2d736ec8b33416c97c02bd6e01f95cb"}
f69ef03db4344005a07aeffea7aabe64;{"time": "2018-12-06T13:01:49.699949", "fingerprints": ["99af046144aeeaaca67056435f3f5dd43f533cb5", "99af046144aeeaaca67056435f3f5dd43f533cb5", "99af046144aeeaaca67056435f3f5dd43f533cb5", "99af046144aeeaaca67056435f3f5dd43f533cb5", "99af046144aeeaaca67056435f3f5dd43f533cb5"], "cookie_id": "3513a78d93014d4a96d423fc6cd7b665"}
055d4e16b37a4b15a593892a12b1224a;{"time": "2018-12-06T13:01:01.603509", "fingerprints": ["0c1c3c0c8cba1f8110f95cc8be237ecf995d9694", "0c1c3c0c8cba1f8110f95cc8be237ecf995d9694", "0c1c3c0c8cba1f8110f95cc8be237ecf995d9694", "0c1c3c0c8cba1f8110f95cc8be237ecf995d9694", "0c1c3c0c8cba1f8110f95cc8be237ecf995d9694"], "cookie_id": "48eed1bc85e64c528863dd393ad27a8a"}
